iter	Passed	Remaining
0	1	1639
1	2	1382
2	3	1281
3	4	1223
4	5	1175
5	7	1212
6	8	1229
7	10	1278
8	11	1266
9	12	1231
10	13	1211
11	14	1206
12	15	1181
13	16	1175
14	17	1152
15	18	1148
16	19	1130
17	20	1114
18	21	1104
19	22	1117
20	24	1129
21	25	1129
22	26	1117
23	27	1114
24	28	1123
25	29	1116
26	30	1108
27	32	1133
28	33	1128
29	34	1117
30	35	1107
31	36	1105
32	37	1108
33	38	1107
34	40	1111
35	41	1110
36	42	1102
37	43	1102
38	44	1098
39	45	1094
40	46	1094
41	47	1092
42	48	1089
43	50	1093
44	51	1098
45	52	1098
46	54	1101
47	55	1106
48	59	1145
49	61	1162
50	62	1169
51	64	1175
52	65	1175
53	67	1179
54	69	1191
55	72	1219
56	73	1223
57	75	1223
58	76	1222
59	78	1222
60	79	1221
61	81	1232
62	82	1228
63	85	1243
64	86	1245
65	88	1247
66	89	1251
67	91	1249
68	92	1246
69	93	1244
70	94	1241
71	96	1242
72	98	1252
73	100	1254
74	101	1253
75	103	1252
76	104	1250
77	105	1248
78	106	1246
79	108	1242
80	109	1239
81	110	1238
82	111	1231
83	113	1233
84	114	1236
85	116	1237
86	118	1238
87	119	1237
88	120	1236
89	122	1236
90	124	1239
91	125	1239
92	127	1241
93	129	1251
94	131	1252
95	132	1251
96	134	1250
97	135	1248
98	136	1246
99	138	1246
100	139	1245
101	141	1244
102	143	1251
103	145	1253
104	147	1253
105	148	1252
106	149	1250
107	151	1249
108	152	1246
109	153	1245
110	155	1244
111	157	1245
112	159	1253
113	161	1254
114	162	1254
115	164	1252
116	165	1248
117	166	1247
118	168	1244
119	169	1244
120	171	1244
121	172	1244
122	174	1245
123	176	1246
124	178	1247
125	180	1248
126	181	1248
127	183	1250
128	186	1255
129	189	1265
130	191	1268
131	193	1270
132	195	1272
133	197	1273
134	199	1277
135	202	1284
136	203	1285
137	205	1283
138	206	1281
139	208	1279
140	209	1278
141	210	1273
142	212	1274
143	214	1272
144	216	1273
145	217	1272
146	219	1271
147	220	1270
148	222	1268
149	223	1267
150	225	1266
151	227	1266
152	228	1266
153	231	1269
154	232	1268
155	234	1266
156	235	1264
157	237	1263
158	238	1262
159	240	1260
160	241	1256
161	242	1255
162	244	1255
163	246	1257
164	248	1256
165	250	1257
166	251	1255
167	253	1254
168	255	1254
169	257	1258
170	259	1258
171	261	1260
172	263	1261
173	266	1264
174	268	1265
175	270	1265
176	272	1266
177	274	1268
178	278	1275
179	280	1276
180	282	1279
181	285	1281
182	287	1281
183	289	1284
184	292	1290
185	295	1292
186	297	1294
187	299	1295
188	302	1297
189	305	1300
190	308	1304
191	310	1306
192	312	1306
193	314	1306
194	316	1305
195	319	1309
196	321	1311
197	324	1314
198	326	1315
199	328	1313
200	329	1311
201	332	1312
202	334	1312
203	338	1322
204	341	1323
205	342	1321
206	344	1320
207	346	1320
208	349	1321
209	352	1324
210	353	1322
211	355	1320
212	356	1318
213	358	1316
214	360	1315
215	362	1317
216	365	1318
217	366	1315
218	368	1314
219	370	1312
220	371	1310
221	374	1312
222	377	1313
223	379	1315
224	382	1316
225	385	1318
226	388	1321
227	391	1324
228	394	1328
229	397	1329
230	399	1328
231	401	1328
232	402	1326
233	405	1326
234	407	1327
235	410	1328
236	412	1329
237	415	1329
238	418	1331
239	421	1334
240	424	1335
241	426	1335
242	428	1334
243	430	1332
244	432	1332
245	434	1332
246	436	1330
247	438	1329
248	440	1327
249	441	1325
250	443	1324
251	445	1321
252	447	1319
253	448	1318
254	451	1319
255	453	1319
256	455	1317
257	457	1314
258	458	1311
259	459	1308
260	461	1306
261	462	1304
262	466	1308
263	469	1310
264	472	1310
265	477	1317
266	479	1317
267	483	1320
268	485	1319
269	487	1317
270	490	1318
271	495	1325
272	497	1325
273	501	1329
274	504	1328
275	506	1329
276	508	1327
277	511	1329
278	515	1331
279	520	1337
280	522	1337
281	525	1338
282	527	1336
283	529	1334
284	531	1332
285	532	1330
286	534	1328
287	536	1326
288	539	1326
289	542	1327
290	544	1325
291	545	1323
292	547	1321
293	550	1321
294	554	1324
295	556	1324
296	558	1321
297	559	1318
298	561	1316
299	562	1313
300	565	1313
301	570	1317
302	571	1315
303	573	1312
304	574	1309
305	576	1306
306	577	1304
307	580	1303
308	582	1301
309	583	1298
310	584	1295
311	586	1292
312	587	1289
313	588	1286
314	590	1283
315	591	1280
316	593	1279
317	595	1277
318	596	1274
319	598	1271
320	599	1268
321	600	1265
322	602	1262
323	603	1259
324	605	1256
325	606	1254
326	608	1252
327	610	1250
328	611	1247
329	613	1245
330	614	1242
331	615	1239
332	617	1236
333	618	1233
334	620	1230
335	621	1228
336	623	1227
337	625	1225
338	627	1224
339	629	1221
340	630	1219
341	632	1216
342	634	1215
343	636	1213
344	637	1211
345	639	1208
346	640	1205
347	641	1202
348	643	1199
349	644	1196
350	645	1193
351	647	1191
352	649	1189
353	650	1187
354	652	1185
355	653	1182
356	655	1180
357	656	1177
358	658	1174
359	659	1172
360	660	1169
361	661	1166
362	663	1164
363	665	1161
364	666	1159
365	667	1156
366	669	1153
367	670	1151
368	671	1148
369	672	1145
370	674	1142
371	675	1140
372	677	1138
373	678	1135
374	680	1133
375	681	1131
376	682	1128
377	684	1126
378	685	1123
379	686	1120
380	688	1118
381	690	1117
382	692	1115
383	693	1113
384	695	1111
385	697	1108
386	698	1106
387	699	1103
388	701	1101
389	702	1098
390	703	1096
391	705	1093
392	706	1091
393	707	1088
394	710	1087
395	711	1085
396	713	1082
397	714	1080
398	715	1078
399	717	1075
400	718	1073
401	719	1070
402	721	1068
403	722	1065
404	723	1063
405	725	1061
406	727	1059
407	728	1056
408	729	1054
409	731	1052
410	732	1049
411	734	1047
412	735	1045
413	736	1042
414	738	1040
415	739	1038
416	741	1036
417	742	1033
418	744	1031
419	745	1029
420	747	1027
421	748	1025
422	750	1023
423	751	1021
424	752	1018
425	754	1016
426	756	1014
427	758	1013
428	759	1011
429	761	1009
430	762	1007
431	764	1004
432	765	1002
433	766	1000
434	768	997
435	770	996
436	772	995
437	773	993
438	775	991
439	776	988
440	778	986
441	779	984
442	781	982
443	782	979
444	784	977
445	786	977
446	788	975
447	789	973
448	791	970
449	792	968
450	793	966
451	795	964
452	796	961
453	798	959
454	802	960
455	805	960
456	806	958
457	808	956
458	809	954
459	811	952
460	812	950
461	816	950
462	818	949
463	820	947
464	821	945
465	823	943
466	824	940
467	825	938
468	827	936
469	829	935
470	831	933
471	832	931
472	833	929
473	835	926
474	836	924
475	837	922
476	839	920
477	840	917
478	841	915
479	845	915
480	846	913
481	848	911
482	849	909
483	850	906
484	852	904
485	853	902
486	854	900
487	856	898
488	857	896
489	860	895
490	862	893
491	863	891
492	864	889
493	866	887
494	867	884
495	868	882
496	869	880
497	871	878
498	873	877
499	874	874
500	876	873
501	878	871
502	880	869
503	881	867
504	883	866
505	885	864
506	888	863
507	890	862
508	892	861
509	894	859
510	896	858
511	898	856
512	900	855
513	902	853
514	905	852
515	906	850
516	908	848
517	910	846
518	911	845
519	913	843
520	914	841
521	916	839
522	919	838
523	920	836
524	922	834
525	924	833
526	925	831
527	927	829
528	929	827
529	931	825
530	933	824
531	934	822
532	936	820
533	938	819
534	940	817
535	942	815
536	944	814
537	946	812
538	948	811
539	950	809
540	952	807
541	953	805
542	955	803
543	956	801
544	957	799
545	959	797
546	960	795
547	962	794
548	964	792
549	965	790
550	967	788
551	969	786
552	971	784
553	972	783
554	974	781
555	976	779
556	978	778
557	979	776
558	981	774
559	983	772
560	984	770
561	986	768
562	988	766
563	989	765
564	991	763
565	993	762
566	996	760
567	998	759
568	1000	757
569	1002	755
570	1003	754
571	1005	752
572	1008	751
573	1009	749
574	1012	748
575	1014	746
576	1016	744
577	1018	743
578	1020	741
579	1022	740
580	1025	739
581	1027	737
582	1029	736
583	1031	734
584	1033	733
585	1035	731
586	1038	730
587	1040	728
588	1042	727
589	1043	725
590	1045	723
591	1047	722
592	1050	720
593	1053	719
594	1054	718
595	1056	716
596	1058	714
597	1060	712
598	1062	711
599	1063	709
600	1066	708
601	1070	707
602	1072	706
603	1075	705
604	1077	703
605	1080	702
606	1084	701
607	1087	701
608	1090	699
609	1091	698
610	1094	696
611	1097	696
612	1100	694
613	1103	693
614	1105	692
615	1107	690
616	1110	689
617	1113	688
618	1116	686
619	1118	685
620	1121	684
621	1123	682
622	1126	681
623	1129	680
624	1131	679
625	1134	677
626	1136	676
627	1138	674
628	1141	673
629	1144	671
630	1146	670
631	1148	668
632	1150	667
633	1152	665
634	1155	663
635	1157	662
636	1160	661
637	1162	659
638	1164	657
639	1166	656
640	1169	654
641	1172	653
642	1174	652
643	1177	650
644	1179	649
645	1181	647
646	1184	646
647	1187	644
648	1189	643
649	1192	641
650	1194	640
651	1196	638
652	1198	636
653	1201	635
654	1205	634
655	1208	633
656	1211	632
657	1214	631
658	1219	630
659	1222	629
660	1225	628
661	1228	627
662	1231	625
663	1234	624
664	1237	623
665	1240	622
666	1242	620
667	1246	619
668	1249	618
669	1252	616
670	1254	615
671	1257	613
672	1261	612
673	1265	611
674	1268	610
675	1271	609
676	1273	607
677	1276	606
678	1279	605
679	1282	603
680	1286	602
681	1290	601
682	1293	600
683	1296	599
684	1299	597
685	1303	596
686	1307	595
687	1309	593
688	1312	592
689	1314	590
690	1316	588
691	1321	588
692	1323	586
693	1326	584
694	1327	582
695	1330	581
696	1333	579
697	1336	578
698	1340	577
699	1342	575
700	1344	573
701	1347	572
702	1351	571
703	1354	569
704	1357	567
705	1360	566
706	1363	564
707	1366	563
708	1369	562
709	1372	560
710	1374	558
711	1377	557
712	1380	555
713	1382	553
714	1385	552
715	1387	550
716	1389	548
717	1391	546
718	1394	545
719	1397	543
720	1402	542
721	1405	541
722	1408	539
723	1412	538
724	1415	536
725	1418	535
726	1421	533
727	1424	532
728	1427	530
729	1430	528
730	1433	527
731	1434	525
732	1437	523
733	1441	522
734	1445	521
735	1449	519
736	1453	518
737	1457	517
738	1460	515
739	1463	514
740	1466	512
741	1470	511
742	1472	509
743	1475	507
744	1477	505
745	1479	503
746	1482	502
747	1485	500
748	1488	498
749	1490	496
750	1491	494
751	1493	492
752	1496	490
753	1499	489
754	1502	487
755	1504	485
756	1505	483
757	1507	481
758	1510	479
759	1514	478
760	1517	476
761	1520	474
762	1523	473
763	1527	471
764	1531	470
765	1533	468
766	1536	466
767	1539	464
768	1541	463
769	1545	461
770	1548	459
771	1551	458
772	1554	456
773	1557	454
774	1560	453
775	1563	451
776	1566	449
777	1568	447
778	1570	445
779	1572	443
780	1574	441
781	1576	439
782	1578	437
783	1579	435
784	1580	432
785	1582	430
786	1583	428
787	1584	426
788	1586	424
789	1587	422
790	1589	419
791	1590	417
792	1592	415
793	1593	413
794	1595	411
795	1596	409
796	1598	407
797	1599	404
798	1601	402
799	1602	400
800	1603	398
801	1605	396
802	1606	394
803	1608	392
804	1610	390
805	1611	387
806	1613	385
807	1615	383
808	1617	381
809	1618	379
810	1619	377
811	1621	375
812	1621	373
813	1622	370
814	1623	368
815	1624	366
816	1625	364
817	1627	362
818	1628	359
819	1630	357
820	1631	355
821	1633	353
822	1634	351
823	1636	349
824	1637	347
825	1639	345
826	1640	343
827	1641	341
828	1642	338
829	1643	336
830	1645	334
831	1648	332
832	1652	331
833	1653	329
834	1655	327
835	1656	324
836	1657	322
837	1659	320
838	1661	318
839	1663	316
840	1664	314
841	1666	312
842	1667	310
843	1668	308
844	1670	306
845	1671	304
846	1672	302
847	1674	300
848	1675	298
849	1677	295
850	1678	293
851	1680	291
852	1681	289
853	1682	287
854	1684	285
855	1685	283
856	1687	281
857	1688	279
858	1689	277
859	1691	275
860	1693	273
861	1694	271
862	1696	269
863	1697	267
864	1698	265
865	1700	263
866	1701	260
867	1702	258
868	1703	256
869	1705	254
870	1706	252
871	1708	250
872	1709	248
873	1710	246
874	1711	244
875	1712	242
876	1714	240
877	1715	238
878	1716	236
879	1717	234
880	1719	232
881	1721	230
882	1722	228
883	1724	226
884	1725	224
885	1726	222
886	1727	220
887	1729	218
888	1730	216
889	1731	214
890	1733	212
891	1734	209
892	1735	208
893	1737	205
894	1738	203
895	1739	201
896	1741	199
897	1742	197
898	1743	195
899	1745	193
900	1747	191
901	1748	190
902	1751	188
903	1752	186
904	1753	184
905	1755	182
906	1756	180
907	1758	178
908	1759	176
909	1761	174
910	1762	172
911	1764	170
912	1766	168
913	1767	166
914	1769	164
915	1771	162
916	1772	160
917	1775	158
918	1777	156
919	1779	154
920	1781	152
921	1784	150
922	1786	148
923	1787	147
924	1789	145
925	1792	143
926	1795	141
927	1798	139
928	1800	137
929	1803	135
930	1805	133
931	1807	131
932	1809	129
933	1811	128
934	1814	126
935	1816	124
936	1819	122
937	1822	120
938	1825	118
939	1828	116
940	1831	114
941	1834	112
942	1839	111
943	1842	109
944	1843	107
945	1845	105
946	1847	103
947	1849	101
948	1851	99
949	1853	97
950	1856	95
951	1858	93
952	1860	91
953	1861	89
954	1863	87
955	1865	85
956	1866	83
957	1869	81
958	1871	80
959	1873	78
960	1875	76
961	1877	74
962	1878	72
963	1880	70
964	1883	68
965	1885	66
966	1888	64
967	1890	62
968	1893	60
969	1895	58
970	1896	56
971	1898	54
972	1901	52
973	1903	50
974	1905	48
975	1907	46
976	1909	44
977	1911	42
978	1913	41
979	1915	39
980	1917	37
981	1919	35
982	1921	33
983	1923	31
984	1925	29
985	1927	27
986	1930	25
987	1932	23
988	1934	21
989	1937	19
990	1939	17
991	1941	15
992	1943	13
993	1946	11
994	1948	9
995	1951	7
996	1953	5
997	1955	3
998	1957	1
999	1960	0
